利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 Id,订单日期,邮寄方式,销售额
12%,1,松下,"松下 电话, 耐用",￥332,2016/6/10,中国,中南,邓州,设备,马丽娜,0%,7,河南,技术,消费者,CN-2016-4162714,2016/6/7,一级,"￥2,775"
48%,1,Harbour Creations,"Harbour Creations 运输标签, 耐用",￥132,2014/1/23,中国,华东,曲阜,标签,谭君,0%,5,山东,办公用品,公司,CN-2014-4497265,2014/1/21,一级,￥277
20%,1,Stockwell,"Stockwell 回形针, 混合尺寸",￥51,2014/1/23,中国,华东,曲阜,系固件,谭君,0%,5,山东,办公用品,公司,CN-2014-4497265,2014/1/21,一级,￥256
8%,1,StarTech,"StarTech 打印机, 耐用",￥382,2017/9/17,中国,中南,湛江,设备,钱伟,0%,4,广东,技术,公司,CN-2017-5922906,2017/9/15,二级,"￥4,784"
-45%,1,Hoover,"Hoover 微波炉, 黑色","-￥3,106",2014/12/24,中国,中南,孝感,器具,陶武,40%,8,湖北,办公用品,公司,US-2014-3767771,2014/12/19,标准级,"￥6,901"
-8%,1,Stanley,"Stanley 速写本, 蓝色",-￥37,2014/11/1,中国,中南,浏阳,美术,陶聪,20%,3,湖南,办公用品,消费者,US-2014-1166331,2014/10/31,当日,￥498
6%,1,Green Bar,"Green Bar 计划信息表, 每包 12 个",￥23,2014/11/1,中国,中南,浏阳,纸张,陶聪,0%,3,湖南,办公用品,消费者,US-2014-1166331,2014/10/31,当日,￥391
26%,1,SanDisk,"SanDisk 路由器, 耐用",￥934,2016/3/16,中国,东北,哈尔滨,配件,韩凤,0%,3,黑龙江,技术,小型企业,CN-2016-3064620,2016/3/11,二级,"￥3,592"
50%,1,Smead,"Smead 有色标签, 红色",￥150,2015/10/2,中国,华东,滕州,标签,涂博,0%,5,山东,办公用品,消费者,CN-2015-3188191,2015/9/27,二级,￥300
43%,1,Kraft,"Kraft 搭扣信封, 红色",￥125,2015/9/18,中国,华北,北京,信封,钟庆缘,0%,5,北京,办公用品,小型企业,CN-2015-5717181,2015/9/15,一级,￥293
11%,1,宜家,"宜家 书架, 传统",￥63,2015/9/18,中国,华北,北京,书架,钟庆缘,0%,1,北京,家具,小型企业,CN-2015-5717181,2015/9/15,一级,￥572
42%,1,三星,"三星 信号增强器, 全尺寸",￥811,2017/10/28,中国,西南,重庆,电话,孟刚,0%,3,重庆,技术,公司,CN-2017-2187292,2017/10/26,二级,"￥1,930"
9%,1,Kraft,"Kraft 邮寄品, 每套 50 个",￥47,2017/10/28,中国,西南,重庆,信封,孟刚,0%,3,重庆,办公用品,公司,CN-2017-2187292,2017/10/26,二级,￥527
20%,1,三星,"三星 充电器, 全尺寸",￥595,2017/10/28,中国,西南,重庆,电话,孟刚,0%,1,重庆,技术,公司,CN-2017-2187292,2017/10/26,二级,"￥2,975"
-5%,1,Elite,"Elite 大剪刀, 蓝色",-￥33,2014/2/6,中国,华东,椒江,用品,黄丽,40%,5,浙江,办公用品,消费者,US-2014-3275681,2014/2/2,二级,￥658
16%,1,Accos,"Accos 橡皮筋, 每包 12 个",￥24,2014/12/27,中国,西北,西安,系固件,倪幂,0%,2,陕西,办公用品,消费者,CN-2014-5821791,2014/12/23,标准级,￥150
17%,1,Hon,"Hon 圆形标签, 耐用",￥16,2014/12/27,中国,西北,西安,标签,倪幂,0%,3,陕西,办公用品,消费者,CN-2014-5821791,2014/12/23,标准级,￥99
21%,1,Novimex,"Novimex 合法证物标签, 可调",￥16,2014/12/27,中国,西北,西安,标签,倪幂,0%,2,陕西,办公用品,消费者,CN-2014-5821791,2014/12/23,标准级,￥78
14%,1,Harbour Creations,"Harbour Creations 运输标签, 可调",￥84,2016/3/16,中国,华东,南昌,标签,钱珊,0%,14,江西,办公用品,公司,CN-2016-4126497,2016/3/11,标准级,￥612
30%,1,Kleencut,"Kleencut 尺子, 钢",￥36,2016/3/16,中国,华东,南昌,用品,钱珊,0%,2,江西,办公用品,公司,CN-2016-4126497,2016/3/11,标准级,￥121
18%,1,佳能,"佳能 复印机, 数字化",￥440,2016/8/8,中国,西北,西安,复印机,彭雯,0%,2,陕西,技术,消费者,CN-2016-1751343,2016/8/8,当日,"￥2,443"
-57%,1,夏普,"夏普 墨水, 每套两件",-￥395,2015/8/27,中国,东北,叶柏寿,复印机,谢雯,40%,2,辽宁,技术,小型企业,US-2015-1803838,2015/8/22,二级,￥697
45%,1,Novimex,"Novimex 圆形标签, 可调",￥26,2015/8/27,中国,东北,叶柏寿,标签,谢雯,0%,3,辽宁,办公用品,小型企业,US-2015-1803838,2015/8/22,二级,￥58
34%,1,Ames,"Ames 外皮和封条, 回收",￥194,2014/6/6,中国,华东,上海,信封,韦立,0%,7,上海,办公用品,消费者,CN-2014-4861225,2014/6/1,标准级,￥571
21%,1,Tenex,"Tenex 分层置放架, 黑色",￥123,2014/6/6,中国,华东,上海,用具,韦立,0%,5,上海,家具,消费者,CN-2014-4861225,2014/6/1,标准级,￥589
15%,1,Harbour Creations,"Harbour Creations 有色标签, 可调",￥45,2017/6/2,中国,西北,西宁,标签,熊丽,0%,6,青海,办公用品,公司,CN-2017-3172853,2017/5/28,二级,￥302
10%,1,Eldon,"Eldon 框架, 优质",￥193,2016/7/26,中国,西南,绵阳,用具,曾康,40%,6,四川,家具,消费者,CN-2016-5552260,2016/7/26,当日,"￥1,930"
-50%,1,思科,"思科 充电器, 混合尺寸","-￥3,664",2014/12/18,中国,中南,武汉,电话,郝升,40%,4,湖北,技术,消费者,US-2014-1357144,2014/12/14,标准级,"￥7,327"
24%,1,Wilson Jones,"Wilson Jones 孔加固材料, 实惠",￥10,2014/11/22,中国,西北,韩城,装订机,程聪,0%,2,陕西,办公用品,消费者,CN-2014-5926511,2014/11/17,标准级,￥42
28%,1,Eldon,"Eldon 搁板, 金属",￥186,2014/11/22,中国,西北,韩城,收纳具,程聪,0%,3,陕西,办公用品,消费者,CN-2014-5926511,2014/11/17,标准级,￥665
43%,1,Rogers,"Rogers 盘, 金属",￥244,2014/11/22,中国,西北,韩城,收纳具,程聪,0%,2,陕西,办公用品,消费者,CN-2014-5926511,2014/11/17,标准级,￥567
44%,1,Rogers,"Rogers 盘, 工业",￥255,2014/11/22,中国,西北,韩城,收纳具,程聪,0%,2,陕西,办公用品,消费者,CN-2014-5926511,2014/11/17,标准级,￥580
-57%,1,Stiletto,"Stiletto 大剪刀, 钢",-￥226,2017/5/24,中国,华东,盐城,用品,顾黎明,40%,3,江苏,办公用品,消费者,US-2017-4733722,2017/5/21,二级,￥399
-3%,1,Novimex,"Novimex 折叠椅, 每套两件",-￥39,2017/5/24,中国,华东,盐城,椅子,顾黎明,40%,5,江苏,家具,消费者,US-2017-4733722,2017/5/21,二级,"￥1,183"
-5%,1,OIC,"OIC 夹子, 整包",-￥14,2017/5/24,中国,华东,盐城,系固件,顾黎明,40%,5,江苏,办公用品,消费者,US-2017-4733722,2017/5/21,二级,￥277
10%,1,Ames,"Ames 局间信封, 银色",￥66,2017/5/24,中国,华东,盐城,信封,顾黎明,0%,3,江苏,办公用品,消费者,US-2017-4733722,2017/5/21,二级,￥665
-215%,1,Sanford,"Sanford 荧光笔, 蓝色",-￥63,2017/5/24,中国,华东,盐城,美术,顾黎明,80%,2,江苏,办公用品,消费者,US-2017-4733722,2017/5/21,二级,￥29
28%,1,爱普生,"爱普生 收据打印机, 耐用",￥612,2017/11/14,中国,中南,南宁,设备,马惠英,0%,4,广西,技术,公司,CN-2017-5834341,2017/11/10,标准级,"￥2,187"
8%,1,Elite,"Elite 修剪器, 工业",￥48,2015/1/28,中国,华东,泉州,用品,涂博,0%,3,福建,办公用品,消费者,CN-2015-1973789,2015/1/25,一级,￥606
31%,1,Cuisinart,"Cuisinart 咖啡研磨机, 红色",￥223,2015/1/28,中国,华东,泉州,器具,涂博,0%,4,福建,办公用品,消费者,CN-2015-1973789,2015/1/25,一级,￥721
49%,1,Elite,"Elite 开信刀, 钢",￥122,2017/11/18,中国,华北,天津,用品,巩松,0%,2,天津,办公用品,小型企业,CN-2017-3766882,2017/11/14,标准级,￥249
0%,1,Avery,"Avery 装订机, 回收",￥0,2017/10/28,中国,华北,天津,装订机,孙辉,0%,3,天津,办公用品,小型企业,CN-2017-3665640,2017/10/23,二级,￥186
3%,1,Eldon,"Eldon 闹钟, 优质",￥69,2017/10/28,中国,华北,天津,用具,孙辉,0%,9,天津,家具,小型企业,CN-2017-3665640,2017/10/23,二级,"￥2,316"
44%,1,Safco,"SAFCO 扶手椅, 红色",￥947,2017/10/28,中国,华北,天津,椅子,孙辉,0%,1,天津,家具,小型企业,CN-2017-3665640,2017/10/23,二级,"￥2,153"
6%,1,Novimex,"Novimex 折叠椅, 黑色",￥156,2015/10/12,中国,东北,七台河,椅子,彭伟,0%,7,黑龙江,家具,小型企业,CN-2015-5378913,2015/10/10,一级,"￥2,607"
12%,1,Memorex,"Memorex 键区, 回收",￥96,2015/10/12,中国,东北,七台河,配件,彭伟,0%,4,黑龙江,技术,小型企业,CN-2015-5378913,2015/10/10,一级,￥803
15%,1,Fiskars,"Fiskars 修剪器, 锯齿状",￥82,2016/10/18,中国,华东,徐州,用品,巩关茵,40%,5,江苏,办公用品,公司,CN-2016-2045726,2016/10/17,一级,￥546
-33%,1,Hewlett,"Hewlett 复印机, 彩色","-￥1,485",2016/10/18,中国,华东,徐州,复印机,巩关茵,40%,6,江苏,技术,公司,CN-2016-2045726,2016/10/17,一级,"￥4,454"
5%,1,Eaton,"Eaton 计划信息表, 每包 12 个",￥17,2017/9/15,中国,华东,扬州,纸张,黄娟,0%,3,江苏,办公用品,消费者,CN-2017-2328434,2017/9/12,一级,￥346
45%,1,Acco,"Acco 孔加固材料, 透明",￥38,2016/8/7,中国,华北,北京,装订机,陈莲,0%,3,北京,办公用品,公司,CN-2016-3984376,2016/8/5,二级,￥86
2%,1,KitchenAid,"KitchenAid 微波炉, 黑色",￥29,2017/2/2,中国,中南,株洲,器具,韦锦,0%,1,湖南,办公用品,消费者,CN-2017-5057492,2017/1/28,二级,"￥1,446"
39%,1,诺基亚,"诺基亚 办公室电话机, 整包",￥356,2017/5/25,中国,东北,青冈,电话,谭珊,0%,3,黑龙江,技术,消费者,CN-2017-1118317,2017/5/20,标准级,￥913
42%,1,贝尔金,"贝尔金 路由器, 耐用","￥1,015",2016/6/22,中国,华东,新泰,配件,牛德伟,0%,2,山东,技术,消费者,CN-2016-1498643,2016/6/22,当日,"￥2,417"
26%,1,Fiskars,"Fiskars 大剪刀, 工业",￥298,2016/6/22,中国,华东,新泰,用品,牛德伟,0%,5,山东,办公用品,消费者,CN-2016-1498643,2016/6/22,当日,"￥1,149"
-240%,1,Stanley,"Stanley 铅笔刀, 整包",-￥337,2017/2/24,中国,华东,仪征,美术,马惠英,80%,6,江苏,办公用品,公司,US-2017-4595101,2017/2/21,二级,￥140
12%,1,Avery,"Avery 装订机, 实惠",￥13,2017/2/24,中国,华东,仪征,装订机,马惠英,40%,3,江苏,办公用品,公司,US-2017-4595101,2017/2/21,二级,￥108
34%,1,Ames,"Ames 外皮和封条, 回收",￥166,2015/10/8,中国,华东,镇江,信封,冯丽丽,0%,6,江苏,办公用品,消费者,CN-2015-3269021,2015/10/8,当日,￥490
-57%,1,StarTech,"StarTech 收据打印机, 红色",-￥171,2015/10/8,中国,华东,镇江,设备,冯丽丽,40%,1,江苏,技术,消费者,CN-2015-3269021,2015/10/8,当日,￥302
10%,1,GlobeWeis,"GlobeWeis 马尼拉纸信封, 银色",￥28,2015/10/8,中国,华东,镇江,信封,冯丽丽,0%,2,江苏,办公用品,消费者,CN-2015-3269021,2015/10/8,当日,￥278
15%,1,罗技,"罗技 记忆卡, 耐用",￥173,2015/10/8,中国,华东,镇江,配件,冯丽丽,40%,4,江苏,技术,消费者,CN-2015-3269021,2015/10/8,当日,"￥1,160"
-15%,1,诺基亚,"诺基亚 办公室电话机, 全尺寸",-￥196,2015/10/8,中国,华东,镇江,电话,冯丽丽,40%,7,江苏,技术,消费者,CN-2015-3269021,2015/10/8,当日,"￥1,302"
8%,1,Smead,"Smead 锁柜, 单宽度",￥222,2015/10/8,中国,华东,镇江,收纳具,冯丽丽,0%,3,江苏,办公用品,消费者,CN-2015-3269021,2015/10/8,当日,"￥2,778"
46%,1,Kraft,"Kraft 搭扣信封, 银色",￥97,2015/10/8,中国,华东,镇江,信封,冯丽丽,0%,4,江苏,办公用品,消费者,CN-2015-3269021,2015/10/8,当日,￥213
-23%,1,Elite,"Elite 美工刀, 工业",-￥48,2015/10/8,中国,华东,镇江,用品,冯丽丽,40%,2,江苏,办公用品,消费者,CN-2015-3269021,2015/10/8,当日,￥204
8%,1,Hon,"Hon 摇椅, 红色",￥61,2015/2/21,中国,华东,杭州,椅子,雷木兰,40%,2,浙江,家具,消费者,CN-2015-2594036,2015/2/15,标准级,￥731
-62%,1,贝尔金,"贝尔金 闪存驱动器, 回收",-￥344,2014/12/26,中国,华东,杭州,配件,马惠英,40%,5,浙江,技术,公司,US-2014-3737485,2014/12/24,二级,￥557
44%,1,惠普,"惠普 墨水, 彩色","￥1,336",2016/3/4,中国,中南,禹州,复印机,丁妮,0%,5,河南,技术,公司,CN-2016-3815654,2016/2/27,标准级,"￥3,037"
-12%,1,Enermax,"Enermax 键盘, 实惠",-￥164,2017/9/17,中国,东北,沈阳,配件,沈聪,40%,6,辽宁,技术,消费者,US-2017-2352370,2017/9/11,标准级,"￥1,402"
-45%,1,Cardinal,"Cardinal 订书机, 透明",-￥683,2017/9/17,中国,东北,沈阳,装订机,沈聪,40%,11,辽宁,办公用品,消费者,US-2017-2352370,2017/9/11,标准级,"￥1,516"
12%,1,Hon,"Hon 运输标签, 白色",￥57,2015/7/17,中国,中南,珠海,标签,吕凤,0%,9,广东,办公用品,小型企业,CN-2015-2554132,2015/7/17,当日,￥478
45%,1,Novimex,"Novimex 圆形标签, 可调",￥35,2016/11/17,中国,西南,重庆,标签,倪幂,0%,4,重庆,办公用品,消费者,CN-2016-4214287,2016/11/12,标准级,￥78
23%,1,Avery,"Avery 孔加固材料, 透明",￥17,2016/11/17,中国,西南,重庆,装订机,倪幂,0%,4,重庆,办公用品,消费者,CN-2016-4214287,2016/11/12,标准级,￥72
-52%,1,Avery,"Avery 订书机, 回收",-￥285,2017/1/22,中国,西北,肃州,装订机,杨健,40%,4,甘肃,办公用品,消费者,US-2017-4736051,2017/1/17,二级,￥551
8%,1,Harbour Creations,"Harbour Creations 扶手椅, 可调",￥555,2015/10/11,中国,华东,常州,椅子,薛婷,40%,5,江苏,家具,消费者,CN-2015-2084652,2015/10/5,标准级,"￥6,665"
-47%,1,Advantus,"Advantus 门挡, 耐用",-￥165,2015/10/11,中国,华东,常州,用具,薛婷,40%,3,江苏,家具,消费者,CN-2015-2084652,2015/10/5,标准级,￥353
32%,1,Harbour Creations,"Harbour Creations 合法证物标签, 红色",￥32,2015/10/11,中国,华东,常州,标签,薛婷,0%,2,江苏,办公用品,消费者,CN-2015-2084652,2015/10/5,标准级,￥101
-37%,1,OIC,"OIC 橡皮筋, 金属",-￥35,2015/2/22,中国,华东,张家港,系固件,牛晒明,40%,2,江苏,办公用品,小型企业,US-2015-1904299,2015/2/16,标准级,￥96
4%,1,Bush,"Bush 古典书架, 金属",￥154,2017/4/10,中国,中南,长沙,书架,彭绅,0%,2,湖南,家具,公司,CN-2017-3211633,2017/4/9,一级,"￥3,847"
